sample_index,sample_id,baseline_dice,az_dice,delta_dice,baseline_iou,az_iou,delta_iou,baseline_precision,az_precision,delta_precision,baseline_recall,az_recall,delta_recall
10,spacenet3_paris_img0137,0.7581427581427581,0.7358490566037735,-0.02229370153898458,0.6104910714285714,0.582089552238806,-0.028401519189765412,0.7140992167101827,0.6123650637880275,-0.10173415292215526,0.8079763663220089,0.9217134416543574,0.11373707533234856
11,spacenet3_paris_img0153,0.4230769230769231,0.3175242629555027,-0.1055526601214204,0.2682926829268293,0.1887244231606443,-0.07956825976618498,0.3528872593950504,0.2165875593305021,-0.13629970006454828,0.5281207133058985,0.5946502057613169,0.0665294924554184
12,spacenet3_paris_img0154,0.45875175973721255,0.5725183177757703,0.11376655803855779,0.2976494945804409,0.40106876669947966,0.10341927211903879,0.42764654418197723,0.5677881743977703,0.14014163021579307,0.49473684210526314,0.5773279352226721,0.08259109311740898
13,spacenet3_paris_img0175,0.6123886877385263,0.6054133138258961,-0.006975373912630145,0.44132581100141044,0.4341166596726815,-0.007209151328728958,0.6576292559899117,0.6477094855473234,-0.009919770442588294,0.5729719831532686,0.5683025086980407,-0.004669474455227918
14,spacenet3_paris_img0197,0.48493430886633626,0.5414782415301357,0.05654393266379942,0.3200747741198463,0.3712513977838772,0.05117662366403092,0.591214272012277,0.6095810382240027,0.018366766211725616,0.4110429447852761,0.4870632168578288,0.07602027207255269
15,spacenet3_paris_img0203,0.7116352437467137,0.7487341772151899,0.03709893346847615,0.5523554104477612,0.5983813859382904,0.046025975490529225,0.6506868131868132,0.7162100802179506,0.06552326703113742,0.7851815017404277,0.7843527266699818,-0.0008287750704458752
16,spacenet3_paris_img0212,0.0,0.3003194888178914,0.3003194888178914,0.0,0.17669172932330826,0.17669172932330826,0.0,0.6962962962962963,0.6962962962962963,0.0,0.19144602851323828,0.19144602851323828
17,spacenet3_paris_img0225,0.7309503424657534,0.7637121036797038,0.03276176121395036,0.5759824590993422,0.6177461624859603,0.041763703386618056,0.619108049311095,0.6855006231823847,0.06639257387128972,0.892110762800418,0.8620689655172413,-0.030041797283176686
18,spacenet3_paris_img0242,0.4957126879582453,0.512437525133567,0.016724837175321694,0.3295332507228418,0.34448134703020006,0.014948096307358272,0.4916800197214347,0.4731593464884362,-0.018520673232998497,0.49981205362736497,0.5588272146347576,0.059015161007392625
19,spacenet3_paris_img0261,0.61730319563523,0.6709097716211156,0.053606575985885696,0.4464487034949267,0.5047887323943662,0.058340028899439456,0.592814371257485,0.6217904233171409,0.02897605205965581,0.6439024390243903,0.7284552845528456,0.08455284552845532
