n,patients,auroc,auprc,threshold,tp,fp,fn,tn,recall,fpr,precision,accuracy,accepted,coverage,model,split,target_fpr_budget
268,5,0.9631877923813766,0.960460405908728,0.8963120270935124,99,6,35,128,0.7388059701492538,0.04477611940298507,0.9428571428571428,0.8470149253731343,105,0.3917910447761194,radial_hu_summary_v1,val,0.05
334,6,0.9440281114417871,0.9488181222518489,0.8963120270935124,115,7,52,160,0.688622754491018,0.041916167664670656,0.9426229508196722,0.8233532934131736,122,0.3652694610778443,radial_hu_summary_v1,test,0.05
268,5,0.9631877923813766,0.960460405908728,0.8085568925367334,110,13,24,121,0.8208955223880597,0.09701492537313433,0.8943089430894309,0.8619402985074627,123,0.458955223880597,radial_hu_summary_v1,val,0.1
334,6,0.9440281114417871,0.9488181222518489,0.8085568925367334,122,9,45,158,0.7305389221556886,0.05389221556886228,0.9312977099236641,0.8383233532934131,131,0.39221556886227543,radial_hu_summary_v1,test,0.1
268,5,0.9832368010692805,0.9770645382396154,0.9973862933393596,30,0,104,134,0.22388059701492538,0.0,1.0,0.6119402985074627,30,0.11194029850746269,geometry_plus_radial_v1,val,0.0
334,6,0.9846893040266772,0.9823208894033341,0.9973862933393596,40,0,127,167,0.23952095808383234,0.0,1.0,0.6197604790419161,40,0.11976047904191617,geometry_plus_radial_v1,test,0.0
268,5,0.9832368010692805,0.9770645382396154,0.9637264108528628,86,1,48,133,0.6417910447761194,0.007462686567164179,0.9885057471264368,0.8171641791044776,87,0.3246268656716418,geometry_plus_radial_v1,val,0.01
334,6,0.9846893040266772,0.9823208894033341,0.9637264108528628,96,1,71,166,0.5748502994011976,0.005988023952095809,0.9896907216494846,0.7844311377245509,97,0.2904191616766467,geometry_plus_radial_v1,test,0.01
268,5,0.9832368010692805,0.9770645382396154,0.959853249497613,89,2,45,132,0.664179104477612,0.014925373134328358,0.978021978021978,0.8246268656716418,91,0.33955223880597013,geometry_plus_radial_v1,val,0.02
334,6,0.9846893040266772,0.9823208894033341,0.959853249497613,97,1,70,166,0.5808383233532934,0.005988023952095809,0.9897959183673469,0.7874251497005988,98,0.2934131736526946,geometry_plus_radial_v1,test,0.02
268,5,0.9832368010692805,0.9770645382396154,0.8573873614273606,116,6,18,128,0.8656716417910447,0.04477611940298507,0.9508196721311475,0.9104477611940298,122,0.4552238805970149,geometry_plus_radial_v1,val,0.05
334,6,0.9846893040266772,0.9823208894033341,0.8573873614273606,138,3,29,164,0.8263473053892215,0.017964071856287425,0.9787234042553191,0.9041916167664671,141,0.4221556886227545,geometry_plus_radial_v1,test,0.05
268,5,0.9832368010692805,0.9770645382396154,0.4276630520320493,134,9,0,125,1.0,0.06716417910447761,0.9370629370629371,0.9664179104477612,143,0.5335820895522388,geometry_plus_radial_v1,val,0.1
334,6,0.9846893040266772,0.9823208894033341,0.4276630520320493,163,14,4,153,0.9760479041916168,0.08383233532934131,0.9209039548022598,0.9461077844311377,177,0.5299401197604791,geometry_plus_radial_v1,test,0.1
